Algorithm,Sequential Compression Ratio,Sequential Write Transfer Speed (MB/s),Sequential Write IOPS,Sequential Read Transfer Speed (MB/s),Sequential Read IOPS,Sequential Read/Write Transfer Speed (MB/s),Sequential Read/Write IOPS,Random Compression Ratio,Random Write Transfer Speed (MB/s),Random Write IOPS,Random Read Transfer Speed (MB/s),Random Read IOPS,Random Read/Write Transfer Speed (MB/s),Random Read/Write IOPS,Normalized Sequential Compression Ratio,Normalized Sequential Write Transfer Speed (MB/s),Normalized Sequential Write IOPS,Normalized Sequential Read Transfer Speed (MB/s),Normalized Sequential Read IOPS,Normalized Sequential Read/Write Transfer Speed (MB/s),Normalized Sequential Read/Write IOPS,Normalized Random Compression Ratio,Normalized Random Write Transfer Speed (MB/s),Normalized Random Write IOPS,Normalized Random Read Transfer Speed (MB/s),Normalized Random Read IOPS,Normalized Random Read/Write Transfer Speed (MB/s),Normalized Random Read/Write IOPS,Score
zstd-19,3.66,41834,326,4667806,36467,79780,647,1.98,133865,16733,1950476.0,243809.0,385143,22917,1.0,0.028265528676329494,0.028195813873032348,0.6353276163267473,0.6353246572239934,0.04874847546444869,0.046426521239954076,1.0,0.3892420153992882,0.3892391076787085,0.8321430902689043,0.8321438688824495,0.44710816812919296,0.44709990830520707,0.9215684329430117
zstd-18,3.65,55578,434,6527490,50996,86466,711,1.98,132561,16570,1685596.0,210699.0,381555,22704,0.9972677595628414,0.03755178928080128,0.03753675834630687,0.8884462341187015,0.8884475339291625,0.05283386412019328,0.05101894374282434,1.0,0.38545034776338133,0.3854474400428016,0.7191357721832538,0.7191362133049364,0.44294289936603864,0.4429443783288136,0.9178091345880026
zstd-15,3.47,208103,1625,5809929,45390,196536,1673,1.98,193275,24159,1898493.0,237311.0,519467,30910,0.9480874316939891,0.140606714971798,0.14054661823213976,0.7907801529450115,0.7907803271834004,0.12009062890299432,0.120048794489093,1.0,0.5619896950382656,0.5619809718765265,0.8099652761038244,0.8099655618470318,0.6030433858945053,0.603039584837193,0.9159956526882946
zstd-12,3.43,228794,1787,5425165,42384,254582,2167,1.98,204672,25584,1969230.0,246153.0,511840,30456,0.9371584699453552,0.15458678032155976,0.15455803494205156,0.7384105396902308,0.7384100768306068,0.15555884157295408,0.15549655568312284,1.0,0.5951289864849147,0.5951289864849147,0.8401442200007765,0.8401441692350224,0.5941892875509776,0.5941822580330491,0.9150245909754228
zstd-7,3.35,462041,3609,5201269,40634,376660,3207,1.98,281415,35176,2048000.0,256000.0,661178,39343,0.9153005464480874,0.3121822712420509,0.3121432278152569,0.7079364128766715,0.707921740796878,0.23015293016344,0.23012342135476463,1.0,0.8182761869315406,0.8182558328874828,0.8737503301095302,0.873752939530153,0.7675540887081514,0.7675634547476442,0.9138205728966522
zstd-8,3.39,477389,3729,5302265,41423,373414,3179,1.98,274991,34373,2000488.0,250061.0,655360,38996,0.9262295081967213,0.32255228926863944,0.32252205500778414,0.7216828170628216,0.7216676248715135,0.22816950635599953,0.2281142365097589,1.0,0.7995969899276559,0.7995766358835982,0.8534800050684346,0.8534825539525375,0.7608000380771504,0.7607936476968999,0.9134062534343022
zstd-6,3.26,453976,3546,5572789,43537,369227,3144,1.98,286533,35816,1969230.0,246153.0,671200,39939,0.8907103825136611,0.3067330794656346,0.30669434353918007,0.7585034064530355,0.7584975348002578,0.22561109739674098,0.22560275545350172,1.0,0.8331579008583592,0.8331433622554607,0.8401442200007765,0.8401441692350224,0.779188515559972,0.7791911348693837,0.9030989105428797
zstd-11,3.42,229532,1793,5136050,40125,266923,2273,1.98,209997,26249,1900696.0,237587.0,565745,33664,0.9344262295081966,0.15508541684121196,0.1550769763016779,0.6990595589951661,0.6990539904876392,0.16309964046624514,0.16310275545350172,1.0,0.6106125985717277,0.6105980599688292,0.8109051549989569,0.8109075767349627,0.6567669945403403,0.656768831574224,0.9029601620849635
zstd-9,3.41,321443,2511,5443189,42524,314916,2681,1.98,253897,31737,1866059.0,233257.0,591266,35182,0.9316939890710383,0.21718593331513558,0.2171769590036326,0.740863757531048,0.7408491437133051,0.1924251052815533,0.19237944890929964,1.0,0.738261532019819,0.7382586242992394,0.7961277672137987,0.7961288649061911,0.6863940358180609,0.6863842987299296,0.9026253273191898
zstd-4,3.14,1063896,8311,5152201,40251,874340,7445,1.97,296757,37094,2105912.0,263239.0,723674,43061,0.8579234972677595,0.7188311635662916,0.718820273309116,0.7012578457987079,0.7012491506820676,0.5342534725192537,0.534227898966705,0.9949494949494949,0.8628864360650399,0.8628718974621414,0.8984576685457134,0.8984603517538201,0.8401049907767391,0.8400998887956767,0.9003493754193128
zstd-5,3.21,554825,4334,5025766,39263,443410,3775,1.97,284889,35611,2060880.0,257610.0,744050,44274,0.8770491803278688,0.37487263823312406,0.3748486421034423,0.684048979969607,0.6840363072527396,0.27093960272864365,0.27088117106773824,0.9949494949494949,0.82837760822536,0.8283747005047803,0.8792454005449847,0.8792480263764169,0.8637592595387324,0.8637649491776733,0.899562714650062
zstd-14,3.46,166894,1303,4525966,35359,168929,1438,1.98,191737,23967,1883218.0,235402.0,495134,29462,0.9453551912568305,0.11276347332091922,0.112696765265525,0.6160220005621277,0.6160211850380669,0.10322174995906057,0.10318599311136624,1.0,0.5575176207867129,0.5575147130661332,0.8034484126797897,0.8034499588721761,0.5747954804279964,0.5747897848098796,0.8960711655988998
zstd-13,3.46,181822,1420,5516498,43097,183400,1561,1.98,200808,25101,1731923.0,216490.0,495733,29498,0.9453551912568305,0.12284971446640487,0.12281612177823906,0.7508417283861558,0.7508318960260632,0.11206405615667948,0.11201205510907003,1.0,0.583893554165019,0.583893554165019,0.7389005336788516,0.738901460464386,0.5754908527772522,0.5754921279044813,0.893415112095752
zstd-10,3.42,243086,1899,4345888,33952,255134,2172,1.98,265413,33176,1898493.0,237311.0,656936,39090,0.9344262295081966,0.16424330218994673,0.16424494032174364,0.5915118717151088,0.5915085628669489,0.1558961336067517,0.15585533869115958,1.0,0.7717468422154504,0.7717323036125521,0.8099652761038244,0.8099655618470318,0.7626295987155927,0.7626275435550266,0.8919701156009119
zstd-17,3.62,83078,649,4576536,35754,111265,921,1.98,125713,15714,1706666.0,213333.0,329326,19596,0.9890710382513661,0.056132418400633495,0.05613215706625151,0.6229050024601593,0.6229028380285371,0.06798695315306948,0.0660878300803674,1.0,0.36553827723371096,0.36553536951313126,0.7281249906673396,0.7281263119093209,0.38231084188811587,0.38230875782819906,0.8910431732555937
zstd,3.11,1219047,9523,5010397,39143,1291281,10996,1.94,308724,38590,2005385.0,250673.0,767041,45642,0.8497267759562841,0.8236603704234221,0.8236464279536413,0.6819571299365667,0.6819456784961411,0.7890195556055247,0.7890355912743973,0.9797979797979798,0.8976831282421085,0.8976714973597897,0.855569241087256,0.8555713695736017,0.8904492523296135,0.8904539867725384,0.8799347359591928
zstd-16,3.58,82680,645,4065508,31761,109447,921,1.98,123966,15495,1663350.0,207918.0,348669,20747,0.9781420765027322,0.05586350602282647,0.05578619615983394,0.5533497979130498,0.5533371661527204,0.06687608917219247,0.0660878300803674,1.0,0.36045848938100444,0.36044104305752633,0.7096448298768003,0.7096443893798061,0.404765912592044,0.4047642273250483,0.8761874369110432
zstd-3,3.11,1261277,9853,5268167,41157,1290269,10987,1.94,302734,37841,1883218.0,235402.0,732737,43601,0.8497267759562841,0.8521934601590773,0.8521882027330911,0.7170417927654301,0.7170333977943867,0.7884011868768958,0.7883897818599311,0.9797979797979798,0.8802658819698063,0.8802484356463282,0.8034484126797897,0.8034499588721761,0.8506261253365126,0.8506350352147024,0.8704131552136608
zstd-2,2.99,1322356,10330,5479598,42809,1554659,13238,1.91,313149,39143,1929799.0,241224.0,739016,43974,0.8169398907103825,0.8934620509230856,0.8934440408233869,0.7458193283458678,0.7458143870102266,0.949953072412689,0.9499138920780712,0.9646464646464646,0.9105497918072065,0.9105352532043081,0.8233215396948445,0.823321012051647,0.8579153456720326,0.8579120900559923,0.8631199215533119
zstd-1,2.77,1366472,10675,5553898,43389,1324524,11279,1.9,314774,39346,2060880.0,257610.0,679834,40453,0.7568306010928961,0.9232694339867409,0.9232831690019028,0.7559321826275319,0.7559190926671197,0.8093322350974358,0.8093427095292767,0.9595959595959596,0.9152748377491916,0.9152573914257136,0.8792454005449847,0.8792480263764169,0.789211628854586,0.7892190334978637,0.8583116820472709
gzip-9,3.08,167679,1309,1472057,11500,232146,1976,1.98,219536,27442,1437192.0,179649.0,618264,36789,0.8415300546448087,0.11329386582488533,0.11321570662515136,0.20035932618174418,0.20035192250736075,0.14184963130070075,0.1417910447761194,1.0,0.6383493451813255,0.6383493451813255,0.6131577072415898,0.6131595384127049,0.7177357097499562,0.7177361140917338,0.775784093247355
gzip-8,3.08,167457,1308,1531214,11962,246982,2103,1.98,223978,27997,1373344.0,171668.0,606141,36068,0.8415300546448087,0.11314386947344524,0.11312921639854696,0.2084110909292597,0.20840084322026517,0.1509149657453054,0.1509041331802526,1.0,0.6512654399962782,0.6512596245551188,0.5859178580829798,0.5859196079033684,0.7036622556764557,0.7036697426692939,0.7697790026913112
gzip-7,3.07,168403,1315,1545660,12075,241511,2056,1.98,186181,23272,1338562.0,167320.0,631368,37569,0.8387978142076502,0.11378304311516747,0.11373464798477773,0.21037731290709172,0.2103695186327288,0.14757198618569148,0.14753157290470723,1.0,0.5413623252459931,0.5413477866430948,0.5710786080918325,0.571079460321036,0.7329479956675633,0.7329535478081043,0.7654461612058269
gzip,3.06,159417,1245,1584526,12379,249641,2125,1.98,195653,24456,1202054.0,150256.0,516682,30744,0.8360655737704917,0.10771156917804701,0.10768033212247016,0.2156673020660575,0.21566577814944513,0.1525397112486893,0.15248277841561422,1.0,0.5689042545767522,0.5688897159738537,0.5128393941940826,0.5128383659454792,0.5998103107815219,0.5998010027898628,0.7505958414324618
